ID,Gender,Race,Age_at_Release,Residence_PUMA,Gang_Affiliated,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Prior_Conviction_Episodes_GunCharges,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Violations_ElectronicMonitoring,Violations_Instruction,Violations_FailToReport,Violations_MoveWithoutPermission,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,DrugTests_THC_Positive,DrugTests_Cocaine_Positive,DrugTests_Meth_Positive,DrugTests_Other_Positive,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years,Recidivism_Arrest_Year1,Recidivism_Arrest_Year2,Recidivism_Arrest_Year3
8405,M,BLACK,23-27,20,false,10,Specialized,High School Diploma,0,,Greater than 2 to 3 years,3,1,0,1,2,1,false,false,0,2,false,0,0,false,false,false,false,false,true,true,false,false,false,false,false,1,4,0,0,198.5,0.5,0,0,0,0.74559194,1.840050378,true,true,false,true,false
8406,M,WHITE,43-47,23,false,5,Standard,High School Diploma,0,Drug,Less than 1 year,10 or more,5,1,4,5 or more,1,false,true,3 or more,4 or more,false,2,1,false,false,false,false,false,true,true,false,false,false,false,false,0,0,0,0,249,0,0,0,0,0.427710843,0.733433735,false,true,true,false,false
8407,M,BLACK,23-27,20,false,9,Specialized,High School Diploma,2,Violent/Non-Sex,Greater than 2 to 3 years,10 or more,3,1,5 or more,3,1,false,true,3 or more,2,true,2,1,false,false,true,false,false,true,false,true,true,false,false,false,0,0,0,0,32,0,0,0,0,0.739583333,1,false,true,true,false,false
8413,M,BLACK,33-37,8,true,7,High,Less than HS diploma,3 or more,Property,1-2 years,8,5,0,4,2,5 or more,false,false,3 or more,1,false,3 or more,0,true,false,false,false,false,true,true,false,false,false,false,false,0,2,0,1,119.75,0.25,0,0,0,1,1.525052192,false,true,false,true,false
8414,M,WHITE,48 or older,16,false,5,Standard,Less than HS diploma,0,Drug,1-2 years,10 or more,6 or more,3 or more,5 or more,5 or more,1,false,true,3 or more,4 or more,false,3 or more,2 or more,false,false,false,true,false,true,true,false,false,false,false,false,0,0,0,0,,,,,,0.188829787,0.971409574,false,true,false,true,false
8416,M,WHITE,23-27,17,true,10,Specialized,Less than HS diploma,3 or more,Other,1-2 years,9,5,0,0,4,5 or more,false,true,0,3,false,0,2 or more,false,false,true,false,false,true,true,false,false,true,false,true,4 or more,3,2,3 or more,37.33333333,0.166666672,0,0.5,0,0.133928571,1,false,true,true,false,false
8418,F,BLACK,33-37,2,,5,Standard,At least some college,3 or more,Property,Less than 1 year,10 or more,6 or more,3 or more,5 or more,2,5 or more,false,false,3 or more,4 or more,true,3 or more,1,true,false,false,false,false,true,false,false,false,false,false,false,0,0,0,2,20,0,0,0,0,0.4,1,false,true,false,false,true
8419,M,WHITE,23-27,17,false,6,High,Less than HS diploma,3 or more,,More than 3 years,4,0,0,2,1,0,false,false,1,0,false,1,1,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,1,,,,,,0,0,false,true,false,true,false
8420,M,BLACK,48 or older,8,false,2,,Less than HS diploma,3 or more,Property,Less than 1 year,10 or more,6 or more,0,5 or more,1,5 or more,false,false,3 or more,2,false,3 or more,1,true,false,false,false,false,true,true,false,false,false,false,false,0,0,0,0,,,,,,0,0,false,true,false,false,true
8422,M,WHITE,33-37,17,false,7,,High School Diploma,1,Property,Less than 1 year,10 or more,6 or more,3 or more,5 or more,1,5 or more,true,false,3 or more,4 or more,true,2,0,true,false,false,false,false,true,false,false,false,false,false,false,4 or more,0,0,1,,,,,,0,0,false,true,true,false,false
8423,M,BLACK,33-37,7,false,6,High,Less than HS diploma,1,,1-2 years,4,2,1,0,4,1,false,false,1,1,false,0,2 or more,false,false,false,true,false,true,true,false,false,false,false,false,0,10 or more,3 or more,0,69.3,0.100000001,0,0,0,0.184704185,0.527056277,false,true,true,false,false
8425,M,BLACK,48 or older,5,false,1,Standard,At least some college,3 or more,Drug,Less than 1 year,5,5,0,2,2,1,false,false,1,1,false,1,1,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,1,88.83333333,0,0,0,0,0,0,false,false,false,false,false
8426,M,WHITE,48 or older,15,false,2,Standard,Less than HS diploma,0,Violent/Non-Sex,1-2 years,5,6 or more,3 or more,0,2,4,false,true,0,4 or more,true,0,0,false,true,true,false,false,false,false,false,false,false,false,false,0,0,0,0,195,0,0,0,0,0.185470085,0.312179487,false,true,true,false,false
8427,M,BLACK,38-42,8,false,5,Standard,At least some college,3 or more,Other,Less than 1 year,10 or more,6 or more,2,5 or more,3,5 or more,true,false,2,4 or more,false,3 or more,1,true,false,false,false,false,true,false,true,false,false,false,false,0,0,0,0,,,,,,0,0,false,true,true,false,false
8429,M,WHITE,33-37,17,false,4,Specialized,High School Diploma,2,Drug,More than 3 years,3,2,0,1,1,0,false,false,1,1,false,1,1,false,false,false,false,false,true,true,true,false,false,true,false,1,0,0,0,,0,0,0.075471699,0,,,true,false,false,false,false
8430,M,WHITE,48 or older,17,false,2,Standard,High School Diploma,0,Property,Less than 1 year,1,2,1,1,0,0,false,false,1,1,false,0,0,false,false,false,false,false,true,false,true,false,false,false,false,0,10 or more,0,1,,,,,,0,0,false,true,false,false,true
8431,M,WHITE,38-42,14,false,6,High,High School Diploma,3 or more,Property,1-2 years,9,3,1,4,1,4,true,false,3 or more,4 or more,false,3 or more,1,true,false,false,false,false,true,false,false,false,false,false,false,0,10 or more,3 or more,3 or more,51,0,0.050000001,0,0,0.105882353,0.358088235,false,true,true,false,false
8432,M,BLACK,43-47,1,false,4,Standard,High School Diploma,0,Violent/Non-Sex,More than 3 years,10 or more,0,2,2,2,5 or more,false,false,3 or more,1,true,2,2 or more,true,false,false,false,false,false,false,false,false,false,false,false,0,10 or more,0,1,86.5,0,0,0,0,0.861271676,1,false,false,false,false,false
8433,M,WHITE,38-42,3,false,3,Specialized,High School Diploma,2,Violent/Sex,Greater than 2 to 3 years,3,2,0,1,0,0,false,false,1,0,false,0,0,false,false,false,false,false,false,false,true,false,false,false,false,0,7,0,0,23.66666667,0,0,0,0,0.85915493,1,false,false,false,false,false
8435,M,WHITE,38-42,12,false,3,Standard,High School Diploma,0,,Less than 1 year,3,6 or more,1,1,0,0,false,false,2,4 or more,false,0,0,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,1,48,0,0,0,0,0.927083333,1,false,false,false,false,false
8436,M,BLACK,48 or older,10,false,6,High,High School Diploma,0,Property,1-2 years,10 or more,2,0,5 or more,1,2,false,true,3 or more,1,false,3 or more,0,true,false,true,false,false,true,false,false,false,false,false,false,3,0,0,0,,,,,,0,0,false,true,true,false,false
8437,M,BLACK,33-37,11,false,7,Standard,Less than HS diploma,3 or more,Drug,Greater than 2 to 3 years,10 or more,1,1,2,5 or more,2,false,true,1,0,false,0,2 or more,false,false,false,true,false,true,true,false,false,false,false,false,3,6,0,0,31.2,0,0,0,0,0,0,false,true,true,false,false
8440,M,BLACK,48 or older,1,false,10,Specialized,At least some college,0,Property,1-2 years,10 or more,5,1,5 or more,0,1,false,false,2,2,false,3 or more,0,true,false,false,false,false,true,true,true,false,false,false,false,0,0,0,0,176.5,0.5,0,0,0,0.317280453,2,true,true,true,false,false
8441,M,WHITE,28-32,17,false,6,Standard,Less than HS diploma,2,,Less than 1 year,9,5,0,2,3,2,false,false,2,3,false,1,1,false,false,false,false,false,true,false,false,false,false,false,false,3,0,0,3 or more,31.27272727,0,0,0.090909094,0,0.828488372,2,false,false,false,false,false
8442,M,BLACK,28-32,23,false,9,Standard,High School Diploma,1,Violent/Non-Sex,More than 3 years,10 or more,6 or more,3 or more,1,5 or more,5 or more,true,false,1,1,false,0,1,false,false,false,false,true,true,true,true,true,true,false,false,0,10 or more,2,2,19.28571429,0.142857149,0,0,0,1,2.705555556,false,true,false,false,true
8446,M,WHITE,43-47,24,false,3,Standard,High School Diploma,0,Property,Greater than 2 to 3 years,4,2,0,3,0,1,false,false,3 or more,1,true,3 or more,0,false,false,false,false,false,false,false,true,false,false,false,false,4 or more,10 or more,0,0,29.46666667,0,0,0,0,0.941176471,0.826357466,false,true,false,true,false
8447,M,BLACK,48 or older,10,false,2,High,Less than HS diploma,3 or more,Property,1-2 years,10 or more,6 or more,3 or more,5 or more,4,5 or more,false,false,3 or more,4 or more,true,3 or more,1,true,false,false,true,false,false,false,false,false,false,false,false,4 or more,0,0,2,,,,,,0,0,true,true,true,false,false
8450,M,BLACK,33-37,6,false,6,High,High School Diploma,2,Drug,1-2 years,6,1,0,2,3,1,false,false,3 or more,0,false,1,2 or more,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,0,115.1428571,0,0,0,0,0.610421836,1.812655087,false,false,false,false,false
8451,M,BLACK,23-27,8,false,5,Standard,Less than HS diploma,0,,1-2 years,3,4,2,0,1,3,false,false,1,2,true,0,1,true,false,false,false,false,true,false,false,false,false,false,false,0,0,0,0,,,,,,0,0,false,true,true,false,false
8453,M,WHITE,43-47,2,false,6,Standard,High School Diploma,1,Property,1-2 years,5,1,0,3,1,1,false,false,0,0,false,2,1,false,false,false,false,false,true,false,true,false,true,false,false,0,10 or more,1,1,68.66666667,0.333333343,0,0,0,0.13592233,0.886529126,false,true,false,false,true
8455,M,BLACK,33-37,5,false,7,High,High School Diploma,0,,Greater than 2 to 3 years,6,1,0,1,5 or more,3,false,true,2,1,false,0,2 or more,true,false,false,true,false,false,false,false,false,true,true,true,4 or more,10 or more,3 or more,1,21.89285714,0,0,0.142857149,0,1,1.191680261,true,true,false,false,true
8456,M,BLACK,33-37,4,false,6,High,High School Diploma,0,Other,More than 3 years,2,5,0,0,4,1,false,false,0,4 or more,false,0,2 or more,true,false,true,false,false,false,false,false,false,true,false,false,2,10 or more,0,0,38.62222222,0.088888891,0,0,0,0.891829689,0.630466053,true,false,false,false,false
8458,M,BLACK,33-37,8,true,3,,High School Diploma,2,,1-2 years,6,6 or more,3 or more,0,5 or more,5 or more,false,true,2,4 or more,true,0,2 or more,true,true,false,false,false,true,true,false,false,false,false,false,0,10 or more,3 or more,2,42.1,0,0,0,0,0.809976247,1.735154394,false,false,false,false,false
8459,M,BLACK,23-27,10,false,5,,Less than HS diploma,0,Violent/Non-Sex,1-2 years,7,6 or more,3 or more,3,2,5 or more,true,true,0,4 or more,true,2,2 or more,false,true,false,false,false,false,false,false,false,false,false,false,0,0,0,1,,,,,,1,1,false,true,false,true,false
8461,M,BLACK,33-37,11,true,3,Standard,High School Diploma,3 or more,Property,Less than 1 year,10 or more,6 or more,3 or more,3,5 or more,2,false,true,3 or more,2,false,2,2 or more,false,false,false,false,false,false,false,false,false,true,true,false,1,0,0,1,152,0,0,0,0,0,0,false,true,false,true,false
8462,M,BLACK,23-27,23,false,9,Specialized,Less than HS diploma,1,Drug,Less than 1 year,4,6 or more,0,2,2,2,false,true,1,1,false,0,2 or more,false,false,true,false,false,true,false,false,false,false,false,true,3,1,2,1,131.6666667,0.333333343,0,0,0,0,0,false,true,true,false,false
8463,M,BLACK,33-37,14,false,10,Specialized,Less than HS diploma,0,Violent/Non-Sex,Less than 1 year,10 or more,4,3 or more,5 or more,0,2,false,false,3 or more,2,true,3 or more,0,false,false,false,true,false,true,true,false,true,false,false,false,0,10 or more,2,3 or more,11.77777778,0.277777791,0.111111112,0,0,0,0,false,true,true,false,false
8464,M,WHITE,28-32,1,false,9,Specialized,Less than HS diploma,1,Property,Greater than 2 to 3 years,7,4,0,5 or more,2,4,false,false,3 or more,4 or more,true,3 or more,2 or more,false,false,false,false,true,true,true,true,false,true,false,false,4 or more,10 or more,3 or more,3 or more,29.30555556,0.083333336,0.027777778,0,0,0.732701422,0.692417062,false,true,false,true,false
8465,M,BLACK,43-47,8,false,7,High,At least some college,2,Property,More than 3 years,10 or more,6 or more,2,5 or more,1,3,false,false,3 or more,2,false,3 or more,0,true,false,false,false,false,false,false,false,false,true,false,false,0,0,0,0,,,,,,0,0,false,true,true,false,false
8468,M,WHITE,38-42,18,false,5,Standard,High School Diploma,3 or more,Drug,1-2 years,10 or more,6 or more,2,2,5 or more,5 or more,true,true,2,4 or more,true,0,2 or more,true,false,false,false,false,true,true,false,false,false,false,false,0,0,0,1,,,,,,0.904,1,false,true,true,false,false
8469,M,BLACK,28-32,4,false,4,Specialized,At least some college,3 or more,Violent/Non-Sex,More than 3 years,1,0,1,0,0,0,false,false,0,0,true,0,0,false,false,false,false,false,true,true,true,false,false,false,false,0,0,0,1,59,0.222222224,0.111111112,0,0,0.107344633,0.687853107,false,true,true,false,false
8471,M,WHITE,23-27,8,false,10,Specialized,Less than HS diploma,3 or more,Property,Less than 1 year,4,4,1,4,0,2,false,false,2,2,true,3 or more,0,false,false,false,false,false,true,false,false,false,false,false,false,0,0,0,1,25.27272727,0.090909094,0,0,0,0,0,false,true,true,false,false
8472,M,BLACK,28-32,25,false,6,,Less than HS diploma,3 or more,Property,Less than 1 year,10 or more,5,3 or more,5 or more,1,5 or more,false,false,1,3,true,3 or more,0,false,true,false,false,true,true,false,true,false,false,false,false,0,0,0,2,,,,,,0,0,false,true,true,false,false
8473,M,WHITE,33-37,5,false,9,Specialized,Less than HS diploma,0,Property,1-2 years,9,5,1,5 or more,2,2,false,false,1,4 or more,true,3 or more,0,false,false,false,false,false,true,true,true,false,false,false,false,0,10 or more,0,3 or more,298,0,0,0.166666672,0,0.064317673,0.204278523,true,true,false,true,false
8475,M,BLACK,38-42,10,false,4,Standard,High School Diploma,3 or more,Property,1-2 years,10 or more,6 or more,3 or more,5 or more,2,5 or more,true,true,3 or more,4 or more,false,3 or more,0,true,false,false,false,false,true,true,false,false,false,false,true,4 or more,4,3 or more,1,79.6875,0.0625,0.0625,0,0,0.957647059,0.286470588,false,false,false,false,false
8476,M,WHITE,28-32,7,false,9,Specialized,High School Diploma,3 or more,Property,Less than 1 year,5,4,0,4,1,4,false,false,1,2,true,1,1,false,false,false,false,false,true,false,false,false,true,false,false,0,1,0,2,230,0,0,0,0,1,1.588043478,false,true,false,true,false
8478,M,BLACK,38-42,6,false,4,,At least some college,1,,Less than 1 year,6,3,0,2,4,2,false,true,3 or more,1,false,2,2 or more,true,false,true,false,true,true,true,false,false,false,false,false,0,0,0,1,33.33333333,0,0,0,0,1,1,false,false,false,false,false
8481,M,BLACK,33-37,1,false,9,Specialized,High School Diploma,1,Violent/Non-Sex,More than 3 years,9,4,3 or more,2,4,0,false,false,2,4 or more,true,0,2 or more,false,false,false,false,false,true,false,true,false,false,false,true,3,8,0,0,30.40740741,0.074074075,0.111111112,0,0,0.868453106,0.444884287,false,true,false,false,true
8483,M,WHITE,23-27,24,false,5,Specialized,Less than HS diploma,0,Other,Less than 1 year,6,6 or more,2,1,3,3,false,true,1,4 or more,true,1,1,false,false,false,false,false,true,false,false,false,false,false,false,3,1,0,0,73.8,0,0,0,0,0,0,false,true,false,true,false
8484,M,WHITE,33-37,15,false,1,Standard,At least some college,1,,More than 3 years,4,5,1,0,4,0,false,false,2,3,false,0,2 or more,false,false,false,false,false,false,false,false,false,false,false,false,0,6,0,1,53.75,0.0625,0,0,0,1,1.274127907,false,false,false,false,false
8485,M,BLACK,43-47,7,false,7,High,At least some college,2,Property,More than 3 years,10 or more,2,0,5 or more,5 or more,1,false,false,3 or more,1,false,2,2 or more,false,false,false,false,true,false,false,false,false,false,false,false,0,0,0,1,214.75,0,0,0,0,0.691501746,0.850407451,false,true,true,false,false
8490,M,BLACK,23-27,18,false,8,Specialized,Less than HS diploma,0,Violent/Non-Sex,More than 3 years,8,1,1,1,4,3,false,true,2,0,false,1,1,false,false,false,false,false,true,true,true,true,false,false,false,0,0,0,1,,,,,,0.136460554,0.259594883,true,true,true,false,false
8491,M,WHITE,43-47,18,false,3,Standard,Less than HS diploma,0,Drug,1-2 years,3,2,0,1,2,1,false,false,1,1,false,0,1,false,false,false,false,false,true,true,false,false,false,false,false,0,6,0,0,49.33333333,0,0,0,0,0,0,false,false,false,false,false
8492,M,WHITE,48 or older,15,true,7,High,High School Diploma,0,Violent/Non-Sex,Greater than 2 to 3 years,10 or more,6 or more,3 or more,2,1,1,true,true,3 or more,4 or more,true,1,1,true,true,true,false,false,true,false,false,false,false,false,false,0,0,0,2,23.86363636,0,0,0,0,0.432380952,0.695714286,false,true,true,false,false
8493,M,BLACK,28-32,7,false,7,High,High School Diploma,0,Property,1-2 years,7,3,1,3,1,4,true,false,0,2,false,3 or more,0,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,0,157.5,0,0,0,0,0,0,false,false,false,false,false
8494,M,BLACK,28-32,20,false,6,,Less than HS diploma,0,Property,Greater than 2 to 3 years,8,6 or more,0,1,5 or more,4,false,false,3 or more,2,false,1,2 or more,false,false,false,false,false,true,true,false,false,false,false,false,0,0,0,2,23,0,0,0,0,1,2,false,true,true,false,false
8495,M,BLACK,33-37,18,false,5,High,High School Diploma,3 or more,Other,Less than 1 year,9,6 or more,1,1,3,4,false,false,0,4 or more,true,0,1,true,false,false,false,false,true,false,false,false,true,false,false,4 or more,10 or more,3 or more,2,65.83333333,0.666666687,0.333333343,0,0,0,0,false,true,false,true,false
8496,M,BLACK,23-27,1,true,10,Specialized,Less than HS diploma,0,Violent/Non-Sex,More than 3 years,3,1,2,1,0,0,false,true,0,0,true,0,0,false,false,true,false,false,false,false,false,false,false,false,false,0,6,3 or more,0,100.75,0.25,0,0,0,0.729528536,1.812655087,false,true,false,false,true
8499,M,BLACK,28-32,20,false,4,Standard,Less than HS diploma,3 or more,Violent/Non-Sex,Less than 1 year,4,6 or more,2,4,1,2,false,false,2,4 or more,true,3 or more,1,true,true,false,false,true,false,false,true,false,false,false,false,0,0,0,1,17.6,0.050000001,0,0,0,1,1,false,true,false,false,true
8500,M,BLACK,23-27,4,true,6,High,Less than HS diploma,1,Violent/Non-Sex,More than 3 years,4,4,3 or more,1,0,0,false,false,1,0,true,0,0,false,false,false,false,false,true,true,true,false,false,false,false,0,10 or more,0,0,47.11111111,0,0,0,0,0.712264151,0.861438679,false,false,false,false,false
8501,M,BLACK,33-37,22,false,8,Specialized,High School Diploma,2,Other,1-2 years,10 or more,6 or more,3 or more,4,4,5 or more,true,true,3 or more,4 or more,true,0,2 or more,true,true,true,false,true,false,false,true,true,true,false,true,4 or more,2,3 or more,0,29.65517241,0.034482758,0.103448279,0,0,0.240697674,0.849418605,false,true,false,false,true
8502,M,BLACK,28-32,16,true,6,Standard,High School Diploma,0,Drug,Less than 1 year,10 or more,4,1,1,1,5 or more,false,true,1,3,true,1,1,false,false,false,false,true,true,false,false,false,false,false,false,4 or more,8,3 or more,0,14.92,0.039999999,0,0,0,0.549597855,1.95844504,false,true,false,true,false
8503,M,BLACK,23-27,17,false,7,High,High School Diploma,1,Violent/Non-Sex,Less than 1 year,6,1,1,0,2,5 or more,false,false,0,0,false,0,0,false,false,false,false,false,true,false,false,false,true,true,false,4 or more,6,0,0,175,0.200000003,0,0,0.200000003,0.92,0.417428571,false,true,false,false,true
8504,M,BLACK,23-27,3,true,8,High,Less than HS diploma,3 or more,,1-2 years,4,2,2,0,2,2,false,false,1,1,true,0,1,false,true,false,false,true,true,true,false,false,true,false,false,0,10 or more,3 or more,0,17.94871795,0.205128208,0,0,0.025641026,0.564285714,2.608928571,false,true,false,false,true
8506,M,WHITE,28-32,17,false,9,Specialized,High School Diploma,2,Violent/Non-Sex,Less than 1 year,5,6 or more,1,2,2,5 or more,false,false,1,2,false,2,2 or more,true,false,false,false,false,true,false,false,false,true,false,false,4 or more,4,3 or more,3 or more,18.28571429,0.047619049,0,0.095238097,0,0,0,true,true,false,true,false
8507,M,BLACK,48 or older,3,false,5,Standard,Less than HS diploma,0,Property,1-2 years,8,3,1,5 or more,2,3,false,false,3 or more,1,false,3 or more,0,true,false,false,false,false,true,false,false,false,false,false,false,0,10 or more,0,3 or more,32.33333333,0.194444448,0.111111112,0,0.027777778,0.391752577,0.31378866,true,false,false,false,false
8509,M,WHITE,28-32,3,false,7,Specialized,Less than HS diploma,3 or more,Violent/Sex,More than 3 years,3,1,1,2,0,1,false,false,0,1,false,2,0,true,false,false,false,false,false,false,false,false,false,false,true,4 or more,8,3 or more,2,12.69642857,0.017857144,0,0.017857144,0.035714287,0.565400844,0.51371308,false,true,false,true,false
8511,M,BLACK,48 or older,3,false,3,,High School Diploma,3 or more,Violent/Non-Sex,Greater than 2 to 3 years,5,2,1,1,1,2,false,false,2,2,true,0,1,true,false,false,false,false,true,true,true,false,false,false,false,0,0,0,1,108.5,0,0,0,0,1,0.841589862,true,false,false,false,false
8512,F,BLACK,38-42,3,,7,High,Less than HS diploma,2,Violent/Non-Sex,More than 3 years,3,2,1,2,0,0,false,false,3 or more,2,true,2,0,false,false,false,false,false,false,false,false,false,false,false,false,0,1,0,0,,0,0,0,0,0,0,true,false,false,false,false
8513,M,WHITE,23-27,8,false,4,Standard,Less than HS diploma,1,Other,Less than 1 year,3,2,0,1,2,0,false,false,1,0,false,0,0,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,0,,,,,,1,1.648984199,false,false,false,false,false
8515,M,WHITE,48 or older,24,false,8,Specialized,Less than HS diploma,0,Violent/Non-Sex,Greater than 2 to 3 years,10 or more,1,2,5 or more,3,1,false,false,3 or more,1,true,3 or more,1,false,false,false,true,false,false,false,false,false,false,false,false,0,5,0,1,65.33333333,0,0,0,0,1,0.465880102,false,false,false,false,false
8516,M,BLACK,33-37,3,false,7,Specialized,Less than HS diploma,2,Violent/Sex,More than 3 years,3,2,2,0,1,0,true,true,1,1,false,0,0,false,false,true,false,false,false,false,true,true,false,false,false,0,10 or more,3 or more,0,87.45454545,0.181818187,0,0,0,0.811850312,0.759355509,false,false,false,false,false
8517,M,WHITE,43-47,17,false,5,,Less than HS diploma,2,Drug,Less than 1 year,10 or more,6 or more,2,2,5 or more,2,false,true,3 or more,3,false,0,2 or more,false,false,false,true,false,false,false,false,false,false,false,false,0,0,0,0,,,,,,0.36,2,false,true,true,false,false
8518,M,BLACK,23-27,4,false,10,Specialized,Less than HS diploma,0,Violent/Non-Sex,More than 3 years,6,0,1,1,4,2,false,true,0,0,true,0,1,false,false,true,false,false,false,false,false,false,false,false,false,4 or more,0,0,0,146,0.25,0,0,0,0,0,false,false,false,false,false
8519,M,WHITE,28-32,1,false,6,High,Less than HS diploma,1,Other,1-2 years,7,2,0,2,3,2,false,false,1,0,false,0,2 or more,false,false,false,false,false,true,true,false,false,false,false,true,0,6,0,2,,,,,,0.525714286,1,false,true,false,true,false
8521,M,BLACK,23-27,20,true,1,Standard,High School Diploma,0,Other,More than 3 years,5,0,0,3,1,0,false,true,0,0,false,0,1,false,false,true,false,false,true,false,false,false,false,false,false,0,0,0,0,103.1538462,0,0,0,0,0.732289336,0.272371365,true,false,false,false,false
8522,M,WHITE,28-32,19,false,1,Standard,High School Diploma,2,Property,1-2 years,7,5,1,4,3,2,true,false,3 or more,0,false,2,2 or more,false,false,false,false,true,true,true,false,false,false,false,false,0,0,0,2,124.4444444,0,0,0,0,0.08125,1.304464286,false,true,true,false,false
8524,M,BLACK,23-27,15,false,10,Specialized,High School Diploma,0,Property,1-2 years,6,1,0,1,0,4,false,false,0,0,false,1,0,false,false,false,false,false,true,true,false,true,false,false,false,4 or more,6,1,2,13.61111111,0.111111112,0,0,0,0,0,false,true,true,false,false
8525,M,WHITE,33-37,24,false,10,Specialized,High School Diploma,3 or more,Property,1-2 years,9,2,0,5 or more,2,2,false,false,1,0,false,2,1,true,false,false,false,false,true,true,true,false,false,false,false,0,0,0,0,30,0,0,0,0,0.04047619,0.434821429,false,false,false,false,false
8526,M,BLACK,28-32,11,false,10,Specialized,High School Diploma,1,Property,Greater than 2 to 3 years,10 or more,0,0,5 or more,1,1,false,true,1,0,false,3 or more,1,false,false,false,false,false,false,true,false,false,false,false,false,0,0,0,3 or more,121.5833333,0.083333336,0,0,0,0.18574366,0.751028101,false,true,false,true,false
8527,M,WHITE,48 or older,16,false,2,Standard,High School Diploma,3 or more,Drug,1-2 years,3,3,1,0,1,1,true,true,2,2,true,0,1,false,false,false,false,false,true,false,false,false,false,false,false,0,6,0,0,143,0,0,0,0,1,0.638548951,false,false,false,false,false
8528,M,BLACK,48 or older,9,false,4,,At least some college,3 or more,Drug,Greater than 2 to 3 years,10 or more,5,2,5 or more,5 or more,2,false,false,3 or more,3,false,2,2 or more,true,false,false,true,false,false,false,false,false,false,false,false,0,0,0,3 or more,128.6,0,0,0,0,1,1.136080871,true,false,false,false,false
8529,M,BLACK,48 or older,9,false,8,High,At least some college,3 or more,Property,Greater than 2 to 3 years,10 or more,6 or more,0,5 or more,4,1,false,false,3 or more,3,false,3 or more,1,true,false,false,false,false,true,true,false,false,false,false,false,0,0,0,3 or more,,,,,,0,0,false,true,true,false,false
8530,F,WHITE,48 or older,7,,5,Standard,High School Diploma,0,Property,1-2 years,6,0,0,4,2,1,false,false,1,0,false,0,1,false,false,false,false,false,true,true,false,false,false,false,false,0,3,0,1,,,,,,1,1.537894737,false,false,false,false,false
8531,M,WHITE,33-37,14,false,5,Specialized,High School Diploma,0,Violent/Non-Sex,Greater than 2 to 3 years,5,0,2,0,0,0,false,false,2,0,true,0,0,false,false,false,false,false,true,true,true,false,false,false,false,0,5,0,3 or more,38.75,0,0,0,0,0.996774194,1,true,true,true,false,false
8533,M,BLACK,48 or older,6,false,6,High,High School Diploma,3 or more,Property,1-2 years,10 or more,6 or more,2,5 or more,0,5 or more,false,true,3 or more,4 or more,true,3 or more,0,true,false,true,false,false,true,true,false,false,false,false,false,0,0,0,0,,,,,,0.089613035,0.74389002,false,true,true,false,false
8535,M,WHITE,33-37,14,false,6,Standard,High School Diploma,0,Violent/Non-Sex,More than 3 years,3,4,2,1,0,0,false,true,1,1,true,0,0,false,false,true,false,true,true,false,true,false,false,false,false,2,10 or more,0,2,40.92857143,0,0,0,0,1,0.637434555,false,false,false,false,false
8537,M,BLACK,23-27,7,false,8,High,High School Diploma,0,Property,More than 3 years,2,0,0,2,0,1,false,false,1,0,false,2,0,false,false,false,false,false,false,true,true,false,false,false,true,0,0,0,1,,,,,,0.094420601,1,false,true,false,false,true
8538,F,WHITE,23-27,16,,8,High,Less than HS diploma,1,Drug,Less than 1 year,4,1,0,0,3,2,false,false,1,0,false,0,2 or more,false,false,false,false,false,true,false,false,false,false,false,false,0,7,0,0,106.25,0,0,0,0,1,2.578235294,false,false,false,false,false
8539,M,WHITE,23-27,18,true,7,High,Less than HS diploma,3 or more,Other,1-2 years,2,0,1,0,1,1,false,true,0,0,false,0,1,false,false,true,false,false,true,true,false,false,false,false,false,0,10 or more,3 or more,0,36.24,0.200000003,0,0.079999998,0,0.29580574,0.806291391,false,false,false,false,false
8540,M,BLACK,33-37,19,false,8,High,At least some college,3 or more,,1-2 years,9,4,1,0,4,5 or more,false,false,2,4 or more,true,0,2 or more,true,false,false,false,false,true,true,false,false,false,false,true,2,8,0,3 or more,148.375,0.125,0,0,0,0.737994945,0.615417018,false,true,false,true,false
